name,code
Libertador,0101
Autonomo Alto Orinoco,0201
Autonomo Atabapo,0202
Autonomo Atures,0203
Autonomo Autana,0204
Autonomo Maroa,0205
Autonomo Manapiare,0206
Autonomo Río Negro,0207
Anaco,0301
Aragua,0302
Fernando de Peñalver,0303
Francisco del Carmen Carvajal,0304
Francisco de Miranda,0305
Guanta,0306
Independencia,0307
Juan Antonio Sotillo,0308
Juan Manuel Cajigal,0309
José Gregorio Monagas,0310
Libertad,0311
Manuel Ezequiel Bruzual,0312
Pedro María Freites,0313
Píritu,0314
San José de Guanipa,0315
San Juan de Capistrano,0316
Santa Ana,0317
Simón Bolívar,0318
Simón Rodríguez,0319
Sir Artur Mc Gregor,0320
Turístico Diego Bautista Urbaneja,0321
Achaguas,0401
Biruaca,0402
Muñoz,0403
Paéz,0404
Pedro Camejo,0405
Rómulo Gallegos,0406
San Fernando,0407
Bolívar,0501
Camatagua,0502
Girardot,0503
José Ángel Lamas,0504
José Félix Rivas,0505
José Rafael Revenga,0506
Libertador,0507
Mario Briceño Iragorry,0508
San Casimiro,0509
San Sebástian,0510
Santiago Mariño,0511
Santos Michelena,0512
Sucre,0513
Tovar,0514
Urdaneta,0515
Zamora,0516
Francisco Linares Alcantara,0517
Ocumare de la Costa de Oro,0518
Alberto Arvelo Torrealba,0601
Antonio José de Sucre,0602
Arismendí,0603
Barinas,0604
Bolívar,0605
Cruz Paredes,0606
Ezequiel Zamora,0607
Obispos,0608
Pedraza,0609
Rojas,0610
Sosa,0611
Andrés Eloy Blanco,0612
Caroní,0701
Cedeño,0702
El Callao,0703
Gran Sabana,0704
Héres,0705
Piar,0706
Raúl Leoní,0707
Roscio,0708
Sifontes,0709
Sucre,0710
Padre Pedro Chien,0711
Bejuma,0801
Carlos Arvelo,0802
Diego Íbarra,0803
Guacara,0804
Juan José Mora,0805
Libertador,0806
Los Guayos,0807
Miranda,0808
Montalban,0809
Naguanagua,0810
Puerto Cabello,0811
San Diego,0812
San Joaquín,0813
Valencia,0814
Anzoategui,0901
Falcón,0902
Girardot,0903
Lima Blanco,0904
Pao de San Juan Bautista,0905
Ricaurte,0906
Rómulo Gallegos,0907
San Carlos,0908
Tinaco,0909
Antonio Díaz,1001
Casacoíma,1002
Pedernales,1003
Tucupita,1004
Acosta,1101
Bolívar,1102
Buchivacoa,1103
Cacique Manaure,1104
Carirubana,1105
Colina,1106
Dabajuro,1107
Democracia,1108
Falcón,1109
Federación,1110
Jacura,1111
Los Taques,1112
Mauroa,1113
Miranda,1114
Monseñor Iturriza,1115
Palmasola,1116
Petit,1117
Piritú,1118
San Francisco,1119
Silva,1120
Sucre,1121
Tocopero,1122
Unión,1123
Urumaco,1124
Zamora,1125
Camaguan,1201
Chaguaramas,1202
El Socorro,1203
San Gerónimo de Guayabal,1204
Leonardo Infante,1205
Las Mercedes,1206
Julian Mellado,1207
Francisco de Miranda,1208
José Tadeo Monagas,1209
Ortiz,1210
José Félix Rivas,1211
Juan German Roscio,1212
San José de Guaribe,1213
Santa María de Ipire,1214
Zaraza,1215
Andrés Eloy Blanco,1301
Crespo,1302
Iribarren,1303
Jiménez,1304
Moran,1305
Palavecino,1306
Simón Planas,1307
Torres,1308
Urdaneta,1309
Alberto Adriani,1401
Andrés Bello,1402
Antonio Pinto Salinas,1403
Aricagua,1404
Arzobispo Chacón,1405
Campo Elías,1406
Caracciolo Parra Olmedo,1407
Cardenal Quintero,1408
Guaraque,1409
Julio Cesar Salas,1410
Justo Briceño,1411
Libertador,1412
Miranda,1413
Obispo Ramos de Lora,1414
Padre Noguera,1415
Pueblo Llano,1416
Rangel,1417
Rivas Dávila,1418
Santos Marquina,1419
Sucre,1420
Tovar,1421
Tulio Febres Cordero,1422
Zea,1423
Acevedo,1501
Andrés Bello,1502
Baruta,1503
Brion,1504
Buroz,1505
Carrizal,1506
Chacao,1507
Cristóbal Rojas,1508
El Hatillo,1509
Guaicaipuro,1510
Independencia,1511
Lander,1512
Los Salias,1513
Paéz,1514
Paz Castillo,1515
Pedro Gual,1516
Plaza,1517
Simón Bolívar,1518
Sucre,1519
Urdaneta,1520
Zamora,1521
Acosta,1601
Aguasay,1602
Bolívar,1603
Caripe,1604
Cedeño,1605
Ezequiel Zamora,1606
Libertador,1607
Maturín,1608
Piar,1609
Punceres,1610
Santa Barbara,1611
Sotillo,1612
Uracoa,1613
Antolín del Campo,1701
Arismendí,1702
Díaz,1703
Garcia,1704
Gómez,1705
Maneiro,1706
Marcano,1707
Mario,1708
Península de Macanao,1709
Tubores,1710
Villalba,1711
Agua Blanca,1801
Araure,1802
Esteller,1803
Guanare,1804
Guanarito,1805
Monseñor José Vicente de Unda,1806
Ospino,1807
Paéz,1808
Papelón,1809
San Genaro de Boconoíto,1810
San Rafael de Onoto,1811
Santa Rosalia,1812
Sucre,1813
Turen,1814
Andrés Eloy Blanco,1901
Andrés Mata,1902
Arismendí,1903
Benítez,1904
Bermudez,1905
Bolívar,1906
Cajigal,1907
Cruz Salmeron Acosta,1908
Libertador,1909
Mario,1910
Mejia,1911
Montes,1912
Ribero,1913
Sucre,1914
Valdez,1915
Andrés Bello,2001
Antonio Rómulo Costa,2002
Ayacucho,2003
Bolívar,2004
Cardenas,2005
Cordoba,2006
Fernández Feo,2007
Francisco de Miranda,2008
Garcia de Hevia,2009
Guasimos,2010
Independencia,2011
Jaureguí,2012
José María Vargas,2013
Junín,2014
Libertad,2015
Libertador,2016
Lobatera,2017
Michelena,2018
Panamericano,2019
Pedro María Ureña,2020
Rafael Urdaneta,2021
Samuel Darío Maldonado,2022
San Cristóbal,2023
Seboruco,2024
Simón Rodríguez,2025
Sucre,2026
Torbes,2027
Uribante,2028
San Judas Tadeo,2029
Andrés Bello,2101
Bocono,2102
Bolívar,2103
Candelaria,2104
Carache,2105
Escuque,2106
José Felipe Marquez Caizales,2107
Juan Vicente Campo Elías,2108
La Ceiba,2109
Miranda,2110
Monte Carmelo,2111
Motatan,2112
Pampan,2113
Pampanito,2114
Rafael Rángel,2115
San Rafael de Carvajal,2116
Sucre,2117
Trujillo,2118
Urdaneta,2119
Valera,2120
Aristides Bastidas,2201
Bolívar,2202
Bruzual,2203
Cocorote,2204
Independencia,2205
José Antonio Paéz,2206
La Trinidad,2207
Manuel Monge,2208
Nirgua,2209
Peña,2210
San Felipe,2211
Sucre,2212
Urachiche,2213
Veroes,2214
Almirante Padilla,2301
Baralt,2302
Cabimas,2303
Catatumbo,2304
Colón,2305
Francisco Javier Pulgar,2306
Jesús Enrique Lossada,2307
Jesús María Semprum,2308
La Cañada de Urdaneta,2309
Lagunillas,2310
Machiques de Perija,2311
Mara,2312
Maracaibo,2313
Miranda,2314
Paéz,2315
Rosario de Perija,2316
San Francisco,2317
Santa Rita,2318
Simón Bolívar,2319
Sucre,2320
Valmore Rodríguez,2321
Vargas,2401
