name,code
Altagracia,010101
Antímano,010102
Candelaria,010103
Caricuao,010104
Catedral,010105
Coche,010106
El Junquito,010107
EL Paraíso,010108
El Recreo,010109
El Valle,010110
La Pastora,010111
La Vega,010112
Macarao,010113
San Agustín,010114
San Bernardino,010115
San José,010116
San Juan,010117
San Pedro,010118
Santa Rosalía,010119
Santa Teresa,010120
Sucre,010121
23 de Enero,010122
Capital Alto Orinoco,020101
Huachamacare,020102
Marawaka,020103
Mavaca,020104
Sierra Parima,020105
Capital Atabapo,020201
Ucata,020202
Yapacana,020203
Caname,020204
Fernando Girón Tovar,020301
Luis Alberto Gómez,020302
Parhueña,020303
Platanillal,020304
Capital Autana,020401
Samariapo,020402
Sipapo,020403
Munduapo,020404
Guayapo,020405
Victorino,020501
Comunidad,020502
Capital Manapiare,020601
Alto Ventuari,020602
Medio Ventuari,020603
Bajo Ventuari,020604
Capital Río Negro,020701
Solano,020702
Casiquiare,020703
Cocuy,020704
Anaco,030101
San Joaquín,030102
Capital Aragua,030201
Cachipo,030202
Capital Fernando de Peñalver,030301
San Miguel,030302
Sucre,030303
Valle de Guanape,030401
Santa Bárbara,030402
Capital Francisco de Miranda,030501
Atapirire,030502
Boca del Pao,030503
El Pao,030504
Múcura,030505
Guanta,030601
Chorrerón,030602
Capital Independencia,030701
Mamo,030702
Puerto La Cruz,030801
Pozuelos,030802
Onoto,030901
San Pablo,030902
Capital José Gregorio Monagas,031001
Piar,031002
San Diego de Cabrutica,031003
Santa Clara,031004
Uverito,031005
Zuata,031006
Capital Libertad,031101
El Carito,031102
Santa Inés,031103
Clarines,031201
Guanape,031202
Sabana de Uchire,031203
Capital Pedro María Freites,031301
Libertador,031302
Santa Rosa,031303
Urica,031304
Píritu,031401
San Francisco,031402
Capital San José de Guanipa,031501
Boca de Uchire,031601
Boca de Chávez,031602
Santa Ana,031701
Pueblo Nuevo,031702
El Carmen,031801
San Cristóbal,031802
Bergantín,031803
Caigua,031804
El Pilar,031805
Naricual,031806
Edmundo Barrios,031901
Miguel Otero Silva,031902
El Chaparro,032001
Tomás Alfaro Calatrava,032002
Lecherías,032101
El Morro,032102
Achaguas,040101
Apurito,040102
El Yagual,040103
Guachara,040104
Mucuritas,040105
Queseras del Medio,040106
Biruaca,040201
Bruzual,040301
Mantecal,040302
Quintero,040303
Rincón Hondo,040304
San Vicente,040305
Guasdualito,040401
Aramendi,040402
El Amparo,040403
San Camilo,040404
Urdaneta,040405
San Juan de Payara,040501
Codazzi,040502
Cunaviche,040503
Elorza,040601
La Trinidad,040602
San Fernando,040701
El Recreo,040702
Peñalver,040703
San Rafael de Atamaica,040704
Capital Bolívar,050101
Capital Camatagua,050201
Carmen de Cura,050202
Choroní,050302
Las Delicias,050303
Madre María de San José,050304
Joaquín Crespo,050305
Pedro José Ovalles,050306
José Casanova Godoy,050307
Andrés Eloy Blanco,050308
Los Tacariguas,050309
Capital José Angel Lamas,050401
Capital José Félix Ribas,050501
Castor Nieves Ríos,050502
Las Guacamayas,050503
Pao de Zárate,050504
Zuata,050505
Capital José Rafael Revenga,050601
Capital Libertador,050701
San Martín de Porres,050702
Capital Mario Briceño Iragorry,050801
Caña de Azúcar,050802
Capital San Casimiro,050901
Güiripa,050902
Ollas de Caramacate,050903
Valle Morín,050904
Capital San Sebastián,051001
Capital Santiago Mariño,051101
Arévalo Aponte,051102
Chuao,051103
Samán de Güere,051104
Alfredo Pacheco Miranda,051105
Capital Santos Michelena,051201
Tiara,051202
Capital Sucre,051301
Bella Vista,051302
Capital Tovar,051401
Capital Urdaneta,051501
Las Peñitas,051502
San Francisco de Cara,051503
Taguay,051504
Capital Zamora,051601
Magdaleno,051602
San Francisco de Asís,051603
Valles de Tucutunemo,051604
Augusto Mijares,051605
Capital Francisco Linares Alcántara,051701
Francisco de Miranda,051702
Monseñor Feliciano González,051703
Capital Ocumare de La Costa de Oro,051801
Sabaneta,060101
Rodríguez Domínguez,060102
Ticoporo,060201
Andrés Bello,060202
Nicolás Pulido,060203
Arismendi,060301
Guadarrama,060302
La Unión,060303
San Antonio,060304
Barinas,060401
Alfredo Arvelo Larriva,060402
San Silvestre,060403
Santa Inés,060404
Santa Lucía,060405
Torunos,060406
El Carmen,060407
Rómulo Betancourt,060408
Corazón de Jesús,060409
Ramón Ignacio Méndez,060410
Alto Barinas,060411
Manuel Palacio Fajardo,060412
Juan Antonio Rodríguez Domínguez,060413
Dominga Ortiz de Páez,060414
Barinitas,060501
Altamira,060502
Calderas,060503
Barrancas,060601
El Socorro,060602
Masparrito,060603
Santa Bárbara,060701
José Ignacio del Pumar,060702
Pedro Briceño Méndez,060703
Ramón Ignacio Méndez,060704
Obispos,060801
El Real,060802
La Luz,060803
Los Guasimitos,060804
Ciudad Bolivia,060901
Ignacio Briceño,060902
José Félix Ribas,060903
Páez,060904
Libertad,061001
Dolores,061002
Palacios Fajardo,061003
